Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
minneapolis,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
seattle,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
portland,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
albuquerque,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
dallas,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
boise,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
des-moines,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
saint-paul,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:12:11
