Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
new-york,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
dallas,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
houston,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
san-marcos,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
kansas-city,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
los-angeles,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
brooklyn,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
saint-louis,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:11
