Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,14:57,4.94,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,19:48,5.82,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,01:02,7.06,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,05:32,5.88,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,13:23,8.54,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,17:05,5.28,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
20.Mar.2019,22:45,5.12,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,03:25,5.09,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,10:55,5.93,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
21.Mar.2019,15:45,5.68,11:54:55,Thu 21 Mar 2019,Is it down right now?,Xfinity
