Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
houston,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
new-york,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
el-centro,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
brooklyn,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
chicago,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
pompano-beach,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
salt-lake-city,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
dallas,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
seattle,24%,26%,49%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:36:46
