Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
new-york,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
philadelphia,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
marco-island,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
brooklyn,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
charlotte,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
sumter,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
atlanta,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
tampa,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
indianapolis,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:11
