Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:12:08
