Location,Bad signal ,internet ,Status,Provider,Source,Date collected,Time collected
boise,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
houston,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
phoenix,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
meridian,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
idaho-falls,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
pocatello,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
rio-rancho,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
sioux-city,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
prescott,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:53:05
