Location,Bad signal ,Status,Provider,Source,Date collected,Time collected
san-francisco,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
toledo,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
coalville,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
san-marcos,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
riverside,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
san-diego,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
petaluma,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
littleton,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
urbana,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
milwaukee,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:51
