Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
houston,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
brooklyn,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
dayton,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
tampa,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
sumter,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
greenville,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
garland,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
tempe,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:16
