Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
evington,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
bethel,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
cumberland,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
bedford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
johnstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
bradford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
randallstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
bowie,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
lexington-park,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:28:14
