Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:08
