Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:10:49
