Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
concord,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
lexington,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
atlanta,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
norcross,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
houston,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
grayson,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
dallas,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
blairsville,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
chicago,13%,86%,Possible problems,windstream,Down detector,Thu 21 Mar 2019,11:54:55
