Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
evington,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
bethel,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
cumberland,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
bedford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
johnstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
bradford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
randallstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
bowie,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
lexington-park,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:10:49
