Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Austin, TX",13, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Kansas City, KS",13, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Atlanta, GA",11, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Kansas City, MO",10, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Provo, UT",7, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Lenexa, KS",6, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Louisville, KY",6, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Mountain View, CA",5, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Lee's Summit, MO",5, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Chicago, IL",5, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Charlotte, NC",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"St. Louis, MO",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Birmingham, AL",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Los Angeles, CA",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Huntsville, AL",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Durham, NC",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Overland Park, KS",4, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Shawnee, KS",3, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Salt Lake City, UT",3, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Houston, TX",3, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"San Antonio, TX",3, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Cary, NC",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Canton, GA",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Grandview, MO",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Concord, NC",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Dallas, TX",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Denver, CO",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Indianapolis, IN",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
"Brighton, NY",2, Problems detected ,7.58%,16.67%,Thu 21 Mar 2019 13:13:25,Google-Fiber,Is the service down,1.52%,53.03%,10.61%,10.61%
