Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
concord,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
lexington,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
atlanta,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
norcross,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
houston,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
grayson,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
dallas,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
blairsville,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
chicago,14%,85%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:28:14
