Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
dallas,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
los-angeles,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
long-beach,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
carrollton,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
chicago,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
fort-wayne,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
plano,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
sarasota,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
portland,,8%,10%,81%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:53:05
