Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",280, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Dallas, TX",231, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Chicago, IL",137, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Seattle, WA",125, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Tampa, FL",109, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Orlando, FL",70, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Portland, OR",61, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Detroit, MI",61, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Irvine, CA",54, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Whittier, CA",51, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Fullerton, CA",48, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Riverside, CA",45, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Long Beach, CA",41, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Brooklyn, NY",36, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Fort Worth, TX",32, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Tacoma, WA",32, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Ontario, CA",31, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"New York City, NY",29, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Irving, TX",28, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Atlanta, GA",27, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Columbus, OH",25, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Chino Hills, CA",23, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
"Sacramento, CA",22, Some problems detected ,9.29%,3.69%,Thu 21 Mar 2019 19:12:30,Frontier,Is the service down,4.96%,71.25%,5.60%,5.22%
