Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
bronx,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
new-york,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
corona,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
stamford,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
newark,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
bayonne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
bridgeport,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
new-rochelle,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
wayne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:28:14
