Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:33:10
