Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Queens, NY",12, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Baltimore, MD",11, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Kansas City, MO",11, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Albuquerque, NM",11, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"El Paso, TX",10, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Pittsburgh, PA",10, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Sacramento, CA",9, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Honolulu, HI",9, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Waianae, HI",9, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Santa Monica, CA",9, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
"Frisco, TX",8, Problems detected ,45.45%,.76%,Thu 21 Mar 2019 13:33:10,T-Mobile,Is the service down,7.88%,32.73%,2.88%,10.30%
