Location,Bad signal ,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
new-york,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
philadelphia,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
marco-island,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
brooklyn,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
charlotte,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
sumter,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
atlanta,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
tampa,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
indianapolis,,53%,9%,37%,Possible problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
