Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
minneapolis,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
seattle,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
portland,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
albuquerque,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
dallas,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
boise,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
des-moines,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
saint-paul,2%,9%,87%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:36:46
