Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
new-york,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
philadelphia,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
marco-island,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
brooklyn,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
charlotte,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
sumter,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
atlanta,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
tampa,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
indianapolis,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
