Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:28:14
