0,1,2,3,4,5,6,7
Date,Time,Ping Time,,Date,Time,Ping Time,
20.Feb.2019,12:35,5.57 ms.,,20.Feb.2019,15:33,5.38 ms.,
20.Feb.2019,19:27,5.69 ms.,,20.Feb.2019,21:46,5.66 ms.,
21.Feb.2019,00:54,5.98 ms.,,21.Feb.2019,03:54,5.99 ms.,
21.Feb.2019,07:17,5.31 ms.,,21.Feb.2019,10:12,53.45 ms.,
21.Feb.2019,13:39,5.42 ms.,,21.Feb.2019,16:50,16.48 ms.,
