Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:33:10
