Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:10:49
