Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Buffalo Grove, IL",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"DuBois, PA",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Sikeston, MO",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Mesquite, TX",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Mesa, AZ",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Smithtown, NY",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Altoona, PA",3, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Dunkirk, NY",2, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Greensburg, PA",2, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Palm Harbor, FL",2, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Englewood, CO",2, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
"Waxahachie, TX",2, No problems detected ,73.14%,1.92%,Thu 21 Mar 2019 13:13:25,Cricket-Wireless,Is the service down,2.40%,13.19%,.72%,8.63%
