Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
chicago,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
los-angeles,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
houston,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
brooklyn,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
milwaukee,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
saint-louis,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
dayton,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
medford,,7%,73%,18%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:55:48
