Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Dallas, TX",518, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Houston, TX",301, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Sacramento, CA",105, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Fort Worth, TX",96, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Austin, TX",94, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Irving, TX",94, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Silver Spring, MD",73, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Chicago, IL",64, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Hampstead, MD",59, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Columbia, MD",55, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Eureka, CA",55, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"San Antonio, TX",50, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Amarillo, TX",49, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Charleston, WV",40, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Los Angeles, CA",37, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Washington, D.C., DC",34, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Auburn, CA",33, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Phoenix, AZ",31, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Charlotte, NC",29, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"McKinleyville, CA",27, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Hyattsville, MD",25, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Greensburg, PA",24, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Round Rock, TX",23, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"College Station, TX",22, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Arlington, TX",21, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Arcata, CA",20, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Stockton, CA",19, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Kansas City, MO",18, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Katy, TX",18, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Danville, CA",17, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"St. Louis, MO",17, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Cabot, AR",17, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Marietta, OH",17, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Oklahoma City, OK",17, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Bryan, TX",16, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Atlanta, GA",16, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Lubbock, TX",15, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Conroe, TX",15, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Abilene, TX",15, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Kinston, NC",15, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Greenville, NC",15, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Altoona, PA",14, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Detroit, MI",14, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"San Angelo, TX",14, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Midland, TX",13, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Plano, TX",13, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Flagstaff, AZ",13, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Concord, CA",12, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"Jonesboro, AR",12, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
"New Bern, NC",12, Problems detected ,3.96%,14.89%,Thu 21 Mar 2019 11:54:55,Suddenlink,Is the service down,2.91%,61.50%,6.96%,9.78%
