Location,Bad signal ,Status,Provider,Source,Date collected,Time collected
san-francisco,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
toledo,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
coalville,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
san-marcos,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
riverside,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
san-diego,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
petaluma,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
littleton,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
urbana,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
milwaukee,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:51:59
