Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:37:59
