Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:27:17
