Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
sumter,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
houston,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
chicago,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
atlanta,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
los-angeles,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
phoenix,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
milwaukee,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
orlando,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
new-york,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:46:48
