Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
evington,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
bethel,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
cumberland,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
bedford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
johnstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
bradford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
randallstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
bowie,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
lexington-park,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:33:10
