Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
bronx,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
new-york,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
corona,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
stamford,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
newark,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
bayonne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
bridgeport,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
new-rochelle,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
wayne,10%,86%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:33:10
