Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:12:08
