Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:10:49
