Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
sumter,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
houston,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
chicago,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
atlanta,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
los-angeles,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
milwaukee,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
orlando,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
new-york,,28%,21%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:53:32
