Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
sumter,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
houston,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
chicago,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
atlanta,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
los-angeles,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
milwaukee,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
orlando,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
new-york,29%,20%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:10:49
