Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:13:25
