Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:27:17
