Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",35, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Miami, FL",29, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Atlanta, GA",17, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Dallas, TX",17, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Tampa, FL",16, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Brooklyn, NY",15, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Orlando, FL",15, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Denver, CO",15, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Toccoa, GA",14, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Houston, TX",14, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Sacramento, CA",13, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Boca Raton, FL",11, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Pahrump, NV",11, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Johnstown, PA",10, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Philadelphia, PA",9, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Detroit, MI",9, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Hialeah, FL",8, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Stone Mountain, GA",7, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Chicago, IL",7, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Jacksonville, FL",7, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Charlotte, NC",7, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Fort Lauderdale, FL",6, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"El Centro, CA",6, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"New York City, NY",6, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"San Francisco, CA",6, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Plano, TX",6, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Greenville, SC",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Las Vegas, NV",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Minneapolis, MN",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Fort Worth, TX",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Austin, TX",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Stockton, CA",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Boston, MA",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Arlington, TX",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Seattle, WA",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Clarkesville, GA",5, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Hollywood, FL",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Farmington, MI",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"San Antonio, TX",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Pittsburgh, PA",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Lawrenceville, GA",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Phoenix, AZ",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Irving, TX",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Kansas City, MO",4, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Richmond, VA",3, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Marysville, CA",3, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Lexington, KY",3, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
"Roxbury, MA",3, No problems detected ,50.36%,Is the service down,Thu 21 Mar 2019 11:54:55,MetroPCS,4.29%,31.79%,2.86%,10.71%
