Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
houston,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
brooklyn,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
dayton,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
tampa,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
sumter,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
greenville,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
garland,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
tempe,,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:53:32
