Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:13:25
