Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
houston,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
brooklyn,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
dayton,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
tampa,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
sumter,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
greenville,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
garland,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
tempe,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:36:46
