Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:12:08
