Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
chicago,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
los-angeles,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
houston,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
brooklyn,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
milwaukee,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
new-york,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
saint-louis,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
dayton,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
medford,7%,73%,19%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:33:10
