Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
allentown,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
bethlehem,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
washington,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
easton,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
northampton,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
corona,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
whitehall,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
somerville,,5%,85%,10%,Possible problems,RCN,Down detector,Thu 21 Mar 2019,19:12:30
