Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
new-york,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
philadelphia,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
marco-island,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
brooklyn,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
charlotte,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
sumter,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
atlanta,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
tampa,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
indianapolis,51%,9%,39%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:28:14
