Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
evington,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
bethel,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
cumberland,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
bedford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
johnstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
bradford,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
randallstown,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
bowie,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
lexington-park,10%,90%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:12:11
