Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:15:02
