Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:36:46
