Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
new-york,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
houston,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
dallas,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
san-marcos,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
kansas-city,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
los-angeles,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
saint-louis,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
austin,39%,7%,52%,No problems,Sprint,Down detector,Thu 21 Mar 2019,11:54:55
