Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
chicago,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
los-angeles,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
houston,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
brooklyn,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
milwaukee,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
new-york,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
saint-louis,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
dayton,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
medford,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:13:25
