Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
brooklyn,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
bronx,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
corona,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
stamford,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
newark,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
bayonne,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
bridgeport,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
new-rochelle,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
wayne,,13%,80%,6%,Possible problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:55:48
