Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
allentown,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
bethlehem,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
new-york,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
washington,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
easton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
corona,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
northampton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
whitehall,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
somerville,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:51
