Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
new-york,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
philadelphia,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
marco-island,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
brooklyn,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
charlotte,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
sumter,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
atlanta,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
tampa,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
indianapolis,51%,9%,39%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:27:17
