Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
bronx,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
new-york,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
corona,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
stamford,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
newark,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
bayonne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
bridgeport,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
new-rochelle,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
wayne,10%,85%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,13:15:02
