Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:33:10
