Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:10:49
