Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
brooklyn,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
bronx,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
new-york,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
corona,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
stamford,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
newark,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
bayonne,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
bridgeport,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
new-rochelle,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
wayne,10%,82%,6%,No problems,optimum-cablevision,Down detector,Thu 21 Mar 2019,11:54:55
