Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
allentown,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
bethlehem,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
new-york,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
washington,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
easton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
corona,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
northampton,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
whitehall,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
somerville,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:12:11
